id,proposition,sen_length,longest_word,pos_nouns,pos_pnouns,pos_verbs,pos_adjectives,pos_numerical,pos_modal_verbs,actual,predicted,pos_verbs,prediction_fact,prediction_policy,prediction_value,speciteller,color_w1,color_w2,color_w3,color_w4,color_w5,color_w6,color_w7,color_w8,color_w9,color_w10,color_w11,color_w12,color_w13,color_w14,color_w15,color_w16,color_w17,color_w18,color_w19,color_w20,color_w21,color_w22,color_w23,color_w24,color_w25,color_w26,color_w27,color_w28,color_w29,color_w30,color_w31,color_w32,color_w33,color_w34,color_w35,color_w36,color_w37,color_w38,color_w39,color_w40,color_w41
72,TRUMP was able to get OBAMA to produce it,48,7,0,2,1,1,0,0,Fact,Value,2,0.080297022,0.076691467,0.843011512,0.016169,0,-0.104698381,0.058598082,0.028909248,0.051884146,-0.058286183,0.028909248,0,-0.037834563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,we have to come forward with a plan that is going to divert people from the criminal justice system,39,8,4,0,3,1,0,0,Policy,Policy,2,0.189376384,0.55883533,0.251788287,0.008616,0,0,0,-0.173261785,0,0,0,0.08007363,0,-0.057225274,0,0,0,0,0,0,0.165428639,0.165797339,0.131731173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,CLINTON voted against the biggest one a multinational one known as CAFTA,21,13,1,2,2,2,1,0,Fact,Value,0,0.306098157,0.018071536,0.675830307,0.002797,-0.002273178,0,-0.027856603,0.000569699,-0.023406762,-0.005807148,0,0,-0.005807148,0,-0.002462129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,CLINTON should not have deleted 33000,38,7,0,1,2,0,1,1,Value,Value,0,0.03964829,0.296111409,0.664240301,0.005408,-0.064075012,0.263746978,-0.158215969,0.036464092,0.003950648,0.002282684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,the money has been squandered on so many of CLINTON ideas,48,10,2,1,1,1,0,0,Value,Value,1,0.26136726,0.008883931,0.729748808,0.00321,0,-0.009720849,-0.012554823,-0.021673668,0,0.006667971,-0.009487341,-0.005292487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,CLINTON got no business ability,57,8,2,1,1,0,0,0,Value,Value,2,0.386689505,0.058951896,0.5543586,0.014109,-0.005017011,0.024441908,-0.041641187,-0.037309239,-0.000816389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,we dont have the money,34,5,1,0,0,0,0,0,Value,Value,0,0.38111654,0.093440534,0.525442925,0.002182,0.040530903,0.00110052,0.039534507,-0.004833782,-0.160173882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,USA have got to do everything they can to disrupt ISIS propaganda efforts online,42,10,2,2,3,0,0,1,Policy,Policy,1,0.176893333,0.682351074,0.140755593,0.012678,0,0,0,0.054136509,0,0.195567693,-0.072446405,0,0.054136509,0,0.041039498,0,-0.05382725,0.230811197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Almost every lawyer says you do nt release your returns until the audit complete,48,8,3,0,2,1,0,0,Value,Value,1,0.203040732,0.072398657,0.724560611,0.004136,0,-0.05044684,0,-0.020432335,0,0.019644366,0,0.040561758,0,-0.050633367,0,0,0.020560097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,CLINTON has taken the home page of CLINTON website HillaryClintoncom and CLINTON has turned it into a fact checker,61,18,5,4,2,0,0,0,Fact,Fact,2,0.548753121,0.048303068,0.402943811,0.009279,0,-0.053816458,-0.045865354,0,0.068097615,0,-0.007722104,0,0,0,0,0,-0.053816458,0,-0.017367574,0,0,-0.037202433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,she was Latina,69,6,0,1,0,0,0,0,Fact,Value,2,0.175808219,0.01924126,0.804950521,0.126807,-0.018505444,-0.084985093,-0.013803027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,TRUMP did not support the war in Iraq,98,7,1,2,1,0,0,0,Fact,Fact,3,0.77863986,0.042166349,0.179193791,0.016921,-0.017640732,-0.089164624,-0.020747985,0.096110521,0,-0.089291722,-0.014524895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,TRUMP supported the invasion of Iraq,21,9,1,2,1,0,0,0,Fact,Fact,1,0.584199523,0.038789863,0.377010614,0.00031,-0.013330771,-0.026443873,0.000146819,-0.018084383,-0.007767215,0.009544311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,we need to have smart fair trade deals,152,5,2,0,1,2,0,0,Policy,Policy,4,0.046623812,0.589489462,0.363886726,0.061744,0,0.089910503,0.031152886,0.023394866,-0.156504232,0.290358388,0.043532578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,once OBAMA and CLINTON got in Iraq the way they got out was a disaster,56,8,2,3,2,0,0,0,Value,Value,1,0.303980206,0.035507967,0.660511827,0.003098,-0.014132618,-0.014685442,0,0,0.021829916,0,0,0,0.01161391,0,0.021829916,0,-0.040092924,0,-0.009643919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,USA need to go after Baghdadi as well,40,8,0,2,2,0,0,0,Policy,Policy,1,0.038162197,0.684503173,0.27733463,0.255346,0,0.078988629,0,0.067768075,0.066892134,0.285819147,-0.083650863,-0.050851896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,the only way that American troops could have stayed in Iraq is to get an agreement from the then Iraqi government that would have protected the US troops,29,10,5,2,4,3,0,2,Value,Value,2,0.351917796,0.095548319,0.552533885,0.598834,0,0,0,0,0,0,0,0.018692234,0,0,0,-0.017472955,0,0.022899969,0,-0.021197924,0.014963572,0,-0.030957475,0,0,0,0,0.018692234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,it really a shame that we could have rebuilt our country twice if we havent spent 6 trillion in the Middle East,68,8,2,2,3,0,2,1,Value,Policy,2,0.40291577,0.361263828,0.235820402,0.032468,-0.048893637,-0.051697933,0,0,0,0,0,0,0.175383039,0,0,0.087136681,-0.057638568,0,0,0.060036995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,CLINTON also wants to see more companies do profit sharing,47,9,3,1,2,1,0,0,Value,Policy,0,0.102136779,0.455612359,0.442250863,0.035456,-0.033307548,0.058569164,0.206580382,0,0,0,0.064819177,0.037858315,-0.099175004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,TRUMP used to have fights with HANNITY,56,7,2,1,1,0,0,0,Fact,Fact,2,0.898261645,0.032048785,0.069689569,0.075661,-0.013550569,-0.04491434,0.015550644,0.015229214,-0.010828616,0,-0.051463258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,often determines where people live,72,10,1,0,2,0,0,0,Fact,Value,5,0.278789221,0.217494237,0.503716543,0.023147,-0.000139153,-0.056257038,-0.165303458,0.011993867,0.220666501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,The record does not show that,43,6,1,0,1,0,0,0,Fact,Value,1,0.156741145,0.01438294,0.828875916,0.195307,-0.019808628,-0.007258735,-0.016256127,-0.009731303,-0.000851646,-0.001390226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,we are 5 percent of the world population we have to trade with the other 95 percent,44,10,4,0,1,1,2,0,Fact,Fact,1,0.803000259,0.045056215,0.151943526,0.083039,0.028101966,-0.030619477,0,-0.091845203,0,0,0,0,0.028101966,0.013582421,0.014409415,0,0,0,-0.026570579,0,-0.091845203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,CLINTON gets Madison Avenue into a room,29,7,1,3,1,0,0,0,Value,Fact,1,0.839091887,0.064354878,0.096553235,0.003959,0.001518139,-0.066091441,0.000256417,8.28E-05,0.003473445,0.000575408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,they are very very upset with what their politicians have told them and what their politicians have done,92,11,2,0,2,1,0,0,Fact,Fact,3,0.509005727,0.046640834,0.444353439,0.023564,0,-0.018399291,0.016488961,0.016488961,0,0,-0.027206235,0.012739767,-0.068795636,0.016861739,0,0,0,-0.027206235,0.012739767,-0.068795636,0.016861739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,TRUMP doesnt care if other nations got nuclear weapons Japan South Korea even Saudi Arabia,38,8,2,6,2,2,0,0,Value,Value,0,0.112892753,0.403587465,0.483519782,0.027299,0,0,0,0,0,0,0,0,-0.135156228,0.120328539,0.188995351,0,-0.074292865,0.065577445,0.065458011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,right now it getting tougher and tougher to defeat ISIS,118,7,0,1,2,2,0,0,Value,Value,3,0.094494694,0.116374054,0.789131252,0.025736,-0.146150678,-0.164295556,-0.054848541,0,0,0,0,0.021208197,0.180942987,0.046333286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,there a lot that we should be proud of and we should be supporting and lifting up,62,10,1,0,4,1,0,2,Policy,Value,1,0.046569102,0.311470328,0.64196057,0.073152,-0.17683877,0,-0.131758224,0,0.02563458,0.20928742,0.031099613,0.136209507,0,0,0.02563458,0.20928742,0.031099613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,CLINTON cant do what she is looking to do with 20 trillion in debt,195,8,1,1,2,0,2,1,Fact,Fact,8,0.475149514,0.106677361,0.418173125,0.980104,0,0,0.047327838,-0.032811979,0,-0.0259828,0,0.0163537,0.047327838,0,-0.020789068,0,0,0.018162591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,this country ca nt afford to have another four years of that kind of experience,38,10,4,0,2,0,1,1,Value,Value,2,0.161566718,0.044734975,0.793698307,0.022475,0,0,0.030201119,0,0,0,0,0.018600505,0.011091504,-0.044849762,0,0,-0.037925162,0,-0.028722582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,TRUMP built some of the greatest real etate assets beyond the United States in Europe lots of different places,66,9,3,4,1,4,0,0,Fact,Fact,2,0.466107552,0.16470061,0.369191838,0.038614,0,-0.079332054,-0.093931719,0,0,0,0,0,0,0,0,0.08410431,0.084948558,0,0.1157805,0,0,-0.08850387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,the financial disclosure statements dont give the tax rate,71,10,4,0,1,1,0,0,Fact,Fact,2,0.74608273,0.188994175,0.064923095,0.038183,-0.008638211,0.101503024,0.19235581,0,0,-0.087238886,-0.008638211,-0.175263626,-0.086857457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,It went before a judge who was a very against police judge,102,7,3,0,1,0,0,0,Value,Fact,2,0.893467037,0.013388498,0.093144464,0.096646,-0.019240774,-0.008003943,-0.007414784,0,0,0.008512687,-0.022280324,0,0,-0.019277815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,TRUMP would go against TRUMPLAWYERS if CLINTON releases CLINTON e mails,45,13,2,3,3,0,0,1,Fact,Fact,2,0.266082616,0.217608455,0.516308929,0.001811,-0.040865345,0,0.064778972,-0.164341484,0,-0.064416622,-0.041002725,0,-0.041002725,0,0.23866707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,stop and frisk was ruled unconstitutional in New York,50,16,1,2,2,1,0,0,Fact,Value,0,0.452370208,0.009729728,0.537900064,0.115682,0.005475397,0,-0.015513635,-0.022109397,0.006447542,0,0,-0.014741948,-0.011126088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,no one disagrees with keeping neighborhoods safe,70,13,2,0,2,1,0,0,Value,Fact,3,0.795299541,0.083070237,0.121630222,0.006423,-0.043324768,-0.016502202,-0.001467862,-0.000252977,-0.062300537,0.06577501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,we re putting a lot of people out of work,42,7,3,0,1,0,0,0,Value,Fact,0,0.669357732,0.05644137,0.274200898,0.003725,0.015581577,0,-0.012593,0,-0.047864151,-0.015309115,0,-0.015685915,-0.015309115,0.021343477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,if CLINTON wants to change the laws she can change the laws,62,7,2,1,4,0,0,1,Value,Fact,2,0.484972632,0.169715569,0.345311799,0.020923,-0.043437243,-0.010684582,0.130378362,0.02028715,0,0,-0.056236459,-0.035267882,0,0,0,-0.056236459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,the reason TRUMP says that is not in a braggadocios way,66,12,3,1,1,0,0,0,Value,Value,3,0.307747539,0.038616796,0.653635665,0.014848,0,-0.015929165,-0.011523451,0,0,-0.017294357,-0.014781231,-0.007795313,0,0,0.022961469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,TRUMP owes the audience the answers to that questions,38,9,3,1,1,0,0,0,Value,Policy,2,0.281674537,0.570806254,0.147519209,0.137991,-0.064453433,-0.16859252,-0.03341345,0,-0.03341345,0.314618545,0.039761366,0,0.260706449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,they re using our country as a piggy bank to rebuild China,42,7,3,1,2,0,0,0,Value,Value,2,0.257288794,0.226039108,0.516672098,0.222737,-0.044235112,-0.02878653,0.175530113,0,-0.04409741,-0.039913965,0,0,0,0.024359458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,CLINTON could make the agreements better,121,10,1,1,2,0,0,1,Value,Value,2,0.023597688,0.192932621,0.783469691,0.750659,-0.035889136,-0.122641657,0.131090232,-0.001880564,0.001147006,0.017900164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,CLINTON spent hundreds of millions of dollars on an advertising,77,11,4,1,1,0,0,0,Fact,Fact,2,0.718670166,0.160007255,0.121322578,0.01834,0.002087823,0.05830682,0.000976955,-0.046544589,0,-0.046544589,0,0.025917897,-0.029173673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,TRUMP agrees with CLINTON that one needs better relationships,75,13,1,2,2,1,0,0,Value,Value,4,0.009140978,0.029466615,0.961392408,0.029094,-0.011286084,0,0,-0.005362273,0,-0.016056124,-0.018838211,0.01100007,-0.027824803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,it politicians like CLINTON that have caused this problem,43,11,3,0,1,0,0,0,Value,Value,1,0.169112248,0.035425873,0.795461879,0.002295,-0.018634831,-0.039589708,-0.044371178,0,0,0.009055307,0.025754117,0,0.017363637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,that what it is,90,6,0,0,0,0,0,0,Fact,Value,2,0.166429141,0.019886545,0.813684315,0.048694,-0.001608384,-0.018955151,-0.020747226,-0.021605242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,the worst of all things has happened,70,8,1,0,1,1,0,0,Value,Fact,3,0.521285805,0.062733918,0.415980277,0.027366,0,-0.040636782,-0.010631789,0.013889721,0.018011104,-0.046697237,0.014285135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,African American within the inner cities has been so badly treated,55,8,1,1,1,2,0,0,Value,Value,2,0.076525255,0.056630362,0.866844383,0.006705,-0.048172285,0,0.062817251,0,0,0.033192711,-0.044314901,-0.072190986,-0.035397887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,that a lot of new economic activity,38,8,2,0,0,2,0,0,Value,Value,1,0.207004257,0.063575541,0.729420202,0.0265,-0.006130669,-0.000652456,-0.076419009,-0.013645356,0.03221845,0,0.005330243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,there are different views about what good for our country our economy and our leadership in the world,44,10,5,0,0,2,0,0,Fact,Value,2,0.176860361,0.026400469,0.79673917,0.003142,-0.033160177,0,-0.024903836,0,0,-0.013853886,-0.018459373,0,0.023886686,0,0.023886686,0,0,0.023886686,0.012451829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,NRA are very very good people,47,6,1,1,0,1,0,0,Value,Value,2,0.103088581,0.057372957,0.839538462,0.001862,-0.014970283,-0.026371793,0.023489762,0.023489762,-0.045007201,0.013593109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,we have to make this the top priority,44,8,1,0,1,1,0,0,Policy,Value,1,0.026819578,0.329234938,0.643945485,0.000736,0.030648351,0.028124794,0.035718921,0.14546358,-0.105295639,0,-0.026328091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,We have to restore trust,36,7,1,0,1,0,0,0,Policy,Policy,1,0.046001895,0.889529175,0.06446893,0.003943,0.066966766,0.026502313,0.034243926,0.218352747,0.216164564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Iran has power over North Korea,47,5,1,3,0,0,0,0,Value,Value,0,0.308071996,0.06921485,0.622713154,0.000843,-0.016289465,-0.052767895,0.004057883,-0.084659343,0.026339756,0.050825534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,it has worked,49,6,0,0,1,0,0,0,Value,Value,2,0.051711556,0.010734517,0.937553927,0.007581,-0.011511313,-0.022042004,-0.015970709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,PUTIN is playing a really tough long game here,75,7,1,1,1,2,0,0,Value,Value,3,0.201418322,0.152164652,0.646417026,0.094727,0.043019104,-0.047895177,0,0,-0.071038627,0.09912952,-0.048006405,0,0.025616789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,TRUMP did a great job and a great service not only for the country but even for the president in getting OBAMA to produce OBAMA birth certificate,24,11,6,3,2,2,0,0,Value,Value,0,0.133712362,0.021692305,0.844595333,0.000611,0,-0.017496671,0,0.014390273,0,0,0,0.014390273,0,0,0,0,0,0,-0.011091864,-0.006284368,0,0,-0.014458352,0,0,-0.01420881,0,0,-0.01420881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,TRUMP even at one time suggested that he would try to negotiate down the national debt of the United States,34,9,2,3,4,1,1,1,Fact,Policy,0,0.291467552,0.456403731,0.252128718,0.008085,0,-0.078107222,0,0,0,0,0,-0.151893283,0,0.096234581,0,0,0,0,0.153273079,0,0,0,0.130101353,0.129739769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,TRUMP has a tremendous income,9,10,1,1,0,1,0,0,Value,Value,0,0.174444817,0.012067773,0.813487409,5.10E-05,-0.006802878,-0.017787663,-0.000760258,-0.014327104,-0.005280702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,it was more than a mistake to use private e mail,51,7,3,0,1,2,0,0,Value,Value,2,0.174237973,0.213086788,0.61267524,0.005118,-0.060366449,-0.173175317,0,-0.036705238,0,-0.090292839,0,0.207105012,0.129630741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,TRUMP is very proud of the endorsement of the NRA,15,11,1,2,0,1,0,0,Value,Value,1,0.084577038,0.128821378,0.786601583,0.161329,-0.034359643,-0.051221432,0,0.134208387,-0.038756081,-0.00166333,0,-0.038756081,-0.00166333,-0.058774596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,USA military is assisting in Iraq,18,9,1,2,1,0,0,0,Fact,Fact,0,0.565300452,0.057355763,0.377343786,0.002578,0.028094157,-0.05349839,-0.030325147,-0.000909272,-0.016746082,0.008522875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,With the United States as he said not so much,54,6,0,2,1,1,0,0,Fact,Fact,0,0.558369388,0.10406108,0.337569532,0.00285,0,0,0.102585488,0.103245972,0,-0.106157682,-0.09279009,-0.030165119,-0.059432717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,you can see that,80,4,0,0,2,0,0,1,Value,Fact,4,0.468734734,0.09485305,0.436412217,0.038875,-0.032778005,0.003911956,0.006780198,-0.004538263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,we have a country that doing so badly,26,7,1,0,1,0,0,0,Value,Value,2,0.219326807,0.053845543,0.72682765,0.003772,0.020534913,0.020951551,0,-0.027794879,-0.008872377,-0.029605919,-0.059120674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,more endorsements are coming next week,79,12,2,0,1,2,0,0,Fact,Fact,2,0.894728622,0.02305951,0.082211868,0.07461,-0.00078619,0.001325981,-0.017256374,-0.025388729,-0.00558937,-0.012120892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,the Trump International is way ahead of schedule,50,13,1,2,0,0,0,0,Fact,Fact,2,0.819268097,0.045365507,0.135366395,0.008664,0,-0.035714779,-0.011856805,-0.017986991,0.014947667,0.000320869,-0.008814124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,CLINTON has a very robust set of plans,32,7,2,1,0,1,0,0,Value,Value,0,0.08317154,0.054710706,0.862117754,0.026962,-0.007162104,-0.052643052,0,0.006498814,0,-0.006260112,-0.010350792,0.010608633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,maybe TRUMP doesnt want the American people and all people watching tonight to know that he paid nothing in federal taxes,24,8,4,1,4,2,0,0,Value,Value,1,0.450832493,0.030281372,0.518886136,0.000495,-0.013359933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027788494,0.022316543,-0.011846237,0,-0.020970893,-0.026499738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,one needs a better community,89,9,1,0,1,1,0,0,Value,Value,3,0.02692107,0.042828906,0.930250024,0.018605,-0.027320421,-0.029094665,-0.001331784,0.022169221,-0.044444057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,what they re doing is they re leaving our country,56,7,1,0,2,0,0,0,Fact,Fact,3,0.681225874,0.030735927,0.288038199,0.00139,-0.010844162,-0.015052428,0,-0.008481592,-0.010244959,-0.015052428,0,-0.004888889,0.008361647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,TRUMP was one of the people who rooted for the housing crisis,92,7,3,1,1,0,1,0,Value,Fact,3,0.651309441,0.036208924,0.312481635,0.209482,-0.010990728,-0.062374696,-0.010047448,-0.006284101,0,0.007504407,0.018988388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,people future does depend on the election,21,8,3,0,1,0,0,0,Value,Value,0,0.220733504,0.296142641,0.483123855,0.000271,0.00886953,0.152603292,-0.160869411,0,0.016178018,-0.005119044,0.085600835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,the best person in CLINTON campaign is mainstream media,34,10,4,1,0,1,0,0,Value,Value,1,0.038479445,0.061724141,0.899796414,0.05002,0,0.022656865,-0.025280436,0,0,0.01678347,-0.026512967,-0.018034875,-0.017625857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Japan Germany South Korea Saudi Arabia should be paying USA,24,8,0,7,2,0,0,1,Policy,Policy,2,0.005515254,0.959745206,0.03473954,0.001219,0.060413106,0.087973652,0.10758884,0.027647593,0.017982777,0,0.064277324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,CLINTON is going to approve one of the biggest tax increases in history,187,9,3,1,2,1,1,0,Fact,Value,6,0.150879694,0.011329027,0.837791278,0.785327,0,-0.008212363,0,0.005353048,0,-0.006691645,-0.002995592,0,-0.014546006,-0.023082394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
