V_P_F,ID,Text,Text2,Text3,Text4
f,242213, USA can not be the policemen of the world,,,
f,243829, CLINTON does n't say that,,,
v,243832, CLINTON 's got no business ability,,,
v,243846," sadly , CLINTON does n't have that",,,
v,243853," All of the things that CLINTON 's talking about could have been taken care of during the last 10 years , let 's say , while CLINTON had great power",,,
v,243931," You have to be able to negotiate , that 's right , with Japan , with Saudi Arabia",,,
v,243927, You have to be able to negotiate our trade deals,,,
v,243951," You have so many different things you have to be able to do , and TRUMP does n't believe that CLINTON has the stamina",,,
v,243945, All you have to do is speak to them,,,
v,242315, CLINTON does n't have the stamina,,,
v,243976," CLINTON has experience , but it 's bad experience",,,
v,243982, We have made so many bad deals during the last,,,
v,243995," it 's bad , bad experience",,,
f,244003," it 's the Iran deal that CLINTON 's so in love with , where we gave them $ 150 billion back",,,
v,244031, this country ca n't afford to have another four years of that kind of experience,,,
b,242134, Very quickly,,,
f,242513, we 're at the final question now,,,
v,244103, TRUMP : Miss Housekeeping,,,
f,244108, she was Latina,,,
v,242684, everybody would agree that O'Donnel deserves saying tough things to her,,,
v,242673, Rosie O'Donnell has been very vicious to TRUMP,,,
v,242688, nobody feels sorry for O'Donnel,,,
f,253571," CLINTON voted against the biggest one, a multinational one known as CAFTA,",,,
f,253575, CLINTON holds the same standards as she looks at all of these trade deals,,,
f,253582, let's not assume that trade is the only challenge we have in the economy,,,
f,253586, trade is a part of economy,,,
v,253606, CLINTON knows how to really work to get new jobs and to get exports that helped to create more new jobs,,,
f,253598," when CLINTON was secretary of state, we actually increased American exports globally 30 percent",,,
f,253602, we increased them to China 50 percent,,,
f,253649, CLINTON has done a lot,,,
f,253630, CLINTON has been a senator,,,
f,253642, CLINTON has been a secretary of state,,,
v,253685," NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country",,,
f,253681," you go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent",,,
v,253705, CLINTON can't win that debate,,,
f,253695, now CLINTON wants to approve Trans,Pacific Partnership,,
v,253699, CLINTON was totally in favor of Trans,Pacific Partnership,,
f,253703," CLINTON heard what TRUMP was saying, how bad Trans",Pacific Partnership is,,
v,253722, Trans,Pacific Partnership will be almost as bad as NAFTA,,
v,253726, nothing will ever top NAFTA,,,
v,253735, that is just not accurate,,,
f,253739, CLINTON was against Trans,Pacific Partnership once it was finally negotiated and the terms were laid out,,
v,253786, that is not the facts,,,
v,253790," the facts are , CLINTON did say she hoped it would be a good deal",,,
v,253794, CLINTON concluded it wasn't,,,
v,253810, this is President OBAMAa's fault,,,
v,253830, OBAMA is pushing Trans,Pacific Partnership,,
v,253845," we need new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt",,,
f,253837," there are different views about what's good for our country, our economy, and our leadership in the world",,,
v,253841, it's important to look at what we need to do to get the economy going again,,,
f,253856, CLINTON does have a plan,,,
f,253872," CLINTON has written a book about it, it's called ""Stronger Together.""",,,
v,253924, CLINTON can only say that she's certainly relieved that her late father never did business with TRUMP,,,
f,253940, TRUMP has taken business bankruptcy six times,,,
v,253919," the thousands of people that TRUMP has stiffed over the course of his business deserve some kind of apology from someone who has taken their labor, taken the goods that they produced, and then refused to pay them",,,
f,253899," TRUMP wouldn't pay what the architect needed to be paid, what he was charging TRUMP to do",,,
f,253956, TRUMP calls himself the King of Debt,,,
f,253965, TRUMP even at one time suggested that he would try to negotiate down the national debt of the United States,,,
f,254011, TRUMP built an unbelievable company,,,
f,254016, TRUMP bulit some of the greatest assets anywhere in the world,,,
f,254030," TRUMP built some of the greatest real etate assets beyond the United States, in Europe, lots of different places",,,
f,254047," when CLINTON talks about people that didn't get paid, they did get paid a lot, but taken advantage of the laws of the nation",,,
f,254044," on occasion, four times, TRUMP used certain laws that are there",,,
v,254056, if CLINTON wants to change the laws she can change the laws,,,
f,254060, CLINTON has been there a long time,,,
f,254068, TRUMP takes advantage of the laws of the nation,,,
f,254073, TRUMP is running a company,,,
v,254078," TRUMP's obligation right now is to do well for himself, his family, his employees, and for his companies",,,
f,254105," if TRUMP donesn't get there one way, he's going to get to Pennsylvania Avenue another",,,
f,254099, we're just opening up on Pennsylvania Avenue right next to the White House,,,
f,254148, products for military come in at costs that are so far above what they were supposed to be,,,
v,254153, we don't have people that know what they're doing,,,
v,254160," when we look at the budget, the budget is bad to a large extent",,,
v,254165, we have people that have no idea as to what to do and how to buy,,,
p,254181, we should be able to do that for the USA,,,
f,254177, the Trump International is way ahead of schedule,,,
f,254172, the Trump International is way under budget,,,
v,254206, we need law and order,,,
v,254210," If we don't have it, we're not going to have a country",,,
v,254214," when I look at what's going on in Charlotte, a city I love, a city where I have investments, when I look at what's going on throughout various parts of our country, whether it's , I mean, I can just keep naming them all day long",,,
f,254233," TRUMP just got today the, as you know, the endorsement of the Fraternal Order of Police, we just , just came in",,,
f,254237," We have endorsements from, I think, almost every police group, very , I mean, a large percentage of them in the United States",,,
v,254244," We have a situation where we have our inner cities, African"," Americans, Hispanics are living in hell",,
f,254248, it's so dangerous,,,
f,254258," You walk down the street, you get shot",,,
f,254265," In Chicago, they've had thousands of shootings, thousands since January 1st",,,
v,254291, we have to stop the violence,,,
f,254303," In a place like Chicago, where thousands of people have been killed, thousands over the last number of years",,,
f,254310," almost 4,000 have been killed since OBAMA became president",,,
v,254328," whether or not in a place like Chicago you do stop and frisk, which worked very well, Mayor Giuliani is here, worked very well in New York",,,
f,254332, It brought the crime rate way down,,,
f,254340, you take the gun away from criminals that shouldn't be having it,,,
f,254347, We have gangs roaming the street,,,
p,254366, we have to be very strong,,,
f,254354," in many cases, they're illegally here, illegal immigrants",,,
f,254358, they have guns,,,
f,254362, they shoot people,,,
p,254370, we have to be very vigilant,,,
p,254374," We have to be , we have to know what we're doing",,,
p,254383, We have to protect our inner cities,,,
f,254387, African,"American communities are being decimated by crime, decimated",,
f,254404, stop,and,frisk was ruled unconstitutional in New York,
f,254410, stop,and,frisk largely singled out black and Hispanic young men,
v,254421, HOLT is wrong in saying that stop,and,frisk was ruled unconstitutional in New York because it largely singled out black and Hispanic young men,
v,254427," It went before a judge, who was a very against",police judge,,
f,254434, It was taken away from the judge,,,
f,254441, the new mayor refused to go forward with the case,,,
p,254469, the argument is that we have to take the guns away from these people that have them,,,
v,254475, they are bad people that shouldn't have guns,,,
f,254482, these people are felons,,,
v,254516, one needs relation,,,
f,254520, there are no good community relations in Chicago,,,
f,254542, Chicago's not the only,,,
f,254546, in Ferguson it is similar as in Chicago,,,
f,254550, in so many different places it is similar as in Chicago,,,
v,254512, one needs a better community,,,
v,254508, one needs more police,,,
v,254504, one has to have stop,and,frisk,
f,254500," when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown",,,
f,254496," when you have 3,000 shootings in Chicago from January 1st",,,
v,254561, TRUMP agrees with CLINTON that one needs better relationships,,,
v,254595, one needs better relationships between the communities and the police,,,
v,254602," in some cases, it's not good",,,
v,254623, there's some bad things going on,,,
v,254614, in Dallas the relationships between the communities and the police were really a beautiful thing,,,
f,254619, then five police officers were killed one night very violently,,,
v,254642, we need law and order in the inner cities,,,
f,254646, the people that are most affected by what's happening are African,American and Hispanic people,,
p,254684, there's a lot that we should be proud of and we should be supporting and lifting up,,,
p,254680, we should be proud of the opportunities that so many families are working to provide for their kids,,,
p,254676, we should be proud of the black businesses that employ so many people,,,
p,254671, we should be proud of the vibrancy of the black church,,,
v,254665, it's really unfortunate that TRUMP paints such a dire negative picture of black communities in our country,,,
f,254714, stop,and,frisk was found to be unconstitutional,
v,254719, in part because stop,and,frisk was ineffective,
f,254726, stop,and,frisk did not do what it needed to do,
f,254738," in fact, violent crime is one",half of what it was in 1991,,
f,254742, property crime is down 40 percent,,,
v,254749, we just don't want to see property crime creep back up,,,
v,254753, we've had 25 years of very good cooperation,,,
v,254768, there were some unintended consequences,,,
v,254773, too many young African,American and Latino men ended up in jail for nonviolent offenses,,
v,254761, there were some problems,,,
f,254782, it's just a fact that if someone is young African,"American man and he does the same thing as a young white man, he is more likely to be arrested, charged, convicted, and incarcerated",,
p,254789, we've got to address the systemic racism in our criminal justice system,,,
v,254796, we cannot just say that law and order is sufficient,,,
p,254803, we have to come forward with a plan that is going to divert people from the criminal justice system,,,
p,254807," we have to deal with mandatory minimum sentences, which have put too many people away for too long for doing too little",,,
p,254820, we need to have more second chance programs,,,
p,254832, CLINTON wants to see private prisons ended in the state system,,,
v,254827, CLINTON is glad that USA are ending private prisons in the federal system,,,
v,254839, one shouldn't have a profit motivation to fill prison cells with young Americans,,,
v,254846, here are some positive ways we can work on this,,,
v,254853, CLINTON believes strongly that commonsense gun safety measures would assist,,,
v,254857, right now there are too many military,style weapons on the streets,,
f,254867, too many military,style weapons on the streets is something TRUMP has supported along with the gun lobby,,
v,254878, we need comprehensive background checks,,,
f,254874, in a lot of places the police are outgunned,,,
v,254885, we need to keep guns out of the hands of those who will do harm,,,
v,254893, we finally need to pass a prohibition on anyone who's on the terrorist watch list from being able to buy a gun in the USA,,,
v,254898," if someone is too dangerous to fly, someone is too dangerous to buy a gun",,,
f,254905, there are things we can do,,,
p,254918, we ought to do these things in a bipartisan way,,,
p,254952," we need all of us to be asking hard questions about, you know, why am I feeling this way",,,
v,254940," implicit bias is a problem for everyone, not just police",,,
v,254948, too many of us in our great country jump to conclusions about each other,,,
v,254978, mental health is one of the biggest concerns,,,
f,254982, now police are having to handle a lot of really difficult mental health problems on the street,,,
p,254960," in CLINTON's first budget, we would put money into that budget to help us deal with implicit bias by retraining a lot of our police officers",,,
f,254958, implicit bias in policing can have literally fatal consequences,,,
f,254986," the police want support, they want more training, they want more assistance",,,
f,254964," CLINTON met with a group of very distinguished, experienced police chiefs a few weeks ago",,,
f,254974, the police got a lot of concerns,,,
f,254990, the federal government could be in a position where we would offer and provide that,,,
v,255048, TRUMP is very proud of the endorsement of the NRA,,,
v,255036," NRA are very, very good people",,,
v,255040, NRA is protecting the Second Amendment,,,
v,255111," It's hard to believe, 500 is like supposed to be good",,,
v,255107, five hundred murders is a lot of murders,,,
v,255130, stop,and, frisk had a tremendous impact on the safety of New York City,
f,255103," in New York City, stop",and,"frisk, we had 2,200 murders, and stop",and
p,255091, TRUMP is talking about taking guns away from gangs and people that use them,,,
v,255202, CLINTON is wrong,,,
f,255199," under the current mayor, crime has not continued to drop, including murders",,,
v,255242," CLINTON gives credit across the board going back two mayors, two police chiefs",,,
v,255246, it has worked,,,
v,255266, it is important that we learn about what has been effective,,,
v,255262, one murder is too many,,,
p,255282," we need to do a better job of working, again, with the communities, faith communities, business communities, as well as the police to try to deal with this problem",,,
v,255270, we should not go to things that sound good that really did not have the kind of impact that we would want,,,
v,255274, no one disagrees with keeping neighborhoods safe,,,
p,255278, no one should disagree about respecting the rights of young men who live in those neighborhoods,,,
v,255334, the African,American community has been let down by our politicians,,
v,255338," politicians talk good around election time, like right now",,,
f,255342," after the election, poiticians said, see ya later, I'll see you in four years",,,
v,255350, African,American within the inner cities has been so badly treated,,
f,255357, African,American community has been abused and used in order to get votes by Democrat politicians,,
f,255361, that's what it is,,,
b,255388, you look at the inner cities,,,
f,255393," TRUMP just left Detroit, TRUMP just left Philadelphia, and TRUMP has been all over the place",,,
v,255411, TRUMP has met some of the greatest people I'll ever meet within these communities,,,
f,255415," they are very, very upset with what their politicians have told them and what their politicians have done",,,
b,255505, behind it is xxx,,,
f,255497, our institutions are under cyber attack,,,
f,255501, our secrets are being stole,,,
v,255525," cyber security, cyber warfare will be one of the biggest challenges facing the next president",,,
f,255529, clearly we're facing at this point two different kinds of adversaries,,,
f,255540, there are the independent hacking groups that do it mostly for commercial reasons to try to steal information that they can use to make money,,,
f,255547," increasingly, we are seeing cyber attacks coming from states, organs of states",,,
f,255551, the most recent and troubling of cyber attacks coming from states has been Russia,,,
f,255555, there's no doubt now that Russia has used cyber attacks against all kinds of organizations in our country,,,
v,255567," PUTIN is playing a really tough, long game here",,,
f,255579," one of the things PUTIN has done is to let loose cyber attackers to hack into government files, to hack into personal files, hack into the Democratic National Committee",,,
v,255618, CLINTON was shocked when TRUMP publicly invited PUTIN to hack into Americans,,,
v,255614," the Russians have been treating it as almost a probing, how far would we go, how much would we do",,,
p,255606, we will defend the citizens of this country,,,
p,255590," we need to make it very clear , whether it's Russia, China, Iran or anybody else , the United States has much greater capacity",,,
p,255594," we are not going to sit idly by and permit state actors to go after our information, our private",sector information or our public,sector information,
p,255598, we're going to have to make it clear that we don't want to use the kinds of tools that we have,,,
v,255602, we don't want to engage in a different kind of warfare,,,
p,255610, the Russians need to understand that,,,
v,255670," CLINTON was so proud of law enforcement in New York, in Minnesota, in New Jersey",,,
f,255675," they responded so quickly, so professionally to the attacks that occurred by Rahami",,,
f,255686, we may find out more information,,,
f,255690, RAHAMI is still alive,,,
p,255701," we've got to do everything we can to vacuum up intelligence from Europe, from the Middle East",,,
p,255660," we've got to have an intelligence surge, where we are looking for every scrap of information",,,
p,255708," That means we've got to work more closely with our allies, and that's something that TRUMP has been very dismissive of",,,
f,255715," We're working with NATO, the longest military alliance in the history of the world, to really turn our attention to terrorism",,,
f,255722," We're working with our friends in the Middle East, many of which, as you know, are Muslim majority nations",,,
v,255729," Donald has consistently insulted Muslims abroad, Muslims at home, when we need to be cooperating with Muslim nations and with the American Muslim community",,,
f,255734, They're on the front lines,,,
f,255740, They can provide information to us that we might not get anywhere else,,,
v,255748," They need to have close working cooperation with law enforcement in these communities, not be alienated and pushed away as some of Donald's rhetoric, unfortunately, has led to",,,
v,255770," You look at the Middle East, it's a total mess",,,
f,255777," Under CLINTON's direction, to a large extent",,,
v,255784," you look at the Middle East, you started the Iran deal, that's another beauty where you have a country that was ready to fall, they were doing so badly",,,
v,255788, They were choking on the sanctions,,,
f,255832, it bothers TRUMP countries in NATO aren't paying their fair share,,,
p,255836," we should be asking , we're defending them, and they should at least be paying us what they're supposed to be paying by treaty and contract",,,
v,255846, NATO could be obsolete,,,
v,255851," TRUMP was very strong on this, and it was actually covered very accurately in the New York Times, which is unusual for the New York Times, to be honest , but TRUMP said, they do not focus on terror",,,
p,255871, that's great. And I think we should get a NATO terror division,,,
f,255876, we pay approximately 73 percent of the cost of NATO,,,
v,255887, NATO are going to do that,,,
v,255891," TRUMP is not going to get credit for it , but that was largely because of what TRUMP was saying and my criticism of NATO",,,
f,255943, TRUMP had supported the war in Iraq before the invasion,,,
f,255955, In 2002,,,
f,255948, TRUMP did not support the war in Iraq,,,
v,255962, That is a mainstream media nonsense put out by CLINTON,,,
v,255969, the best person in CLINTON's campaign is mainstream media,,,
v,255999, TRUMP just can't say anything extremely rough to CLINTON and to her family,,,
v,256009, it's inappropriate,,,
v,256010, it's not nice,,,
v,256093, CLINTON's father worked really hard,,,
f,256102," CLINTON's father printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going",,,
v,256110," what CLINTON believes is the more we can do for the middle class, the more we can invest in people, their education, their skills, their future",,,
v,256114, the better we will be off and the better we'll grow,,,
f,256088, CLINTON's father was a small,businessman,,
v,256174," USA don't know what they're doing when it comes to devaluations and all of these countries all over the world, especially China",,,
v,256193," these countries, especially China, are the best",,,
v,256165, USA is in deep trouble,,,
v,256181," what these countries, especially China, are doing to the USA is a very, very sad thing",,,
f,256208," these countries, especially China, are taking Americans' jobs",,,
f,256215," these countries, especially China, are giving incentives",,,
f,256219," these countries, especially China, are doing things that USA don't do",,,
v,256254, it's a defective agreement,,,
f,256250," when Mexico sells into USA, there's no tax",,,
f,256242," when USA sell into Mexico, there's a tax",,,
v,256291, The NAFTA agreement is defective,,,
f,256295, just because of the tax and many other reasons,,,
v,256286, CLINTON could make the agreements better,,,
f,257046, The share of Americans who say race relations are bad in this country is the highest it's been in decades,,,
f,257050, much of it amplified by shootings of African,Americans by police,,
f,257057, we've seen recently in Charlotte and Tulsa,,,
v,257071, it is hard to heal the divide,,,
v,257064, Race has been a big issue in this campaign,,,
v,257068, TRUMP is going to have to bridge a very wide and bitter gap,,,
v,257082, Race remains a significant challenge in our country,,,
v,257090," Unfortunately, race still determines too much",,,
f,257097, often determines where people live,,,
f,257108, it determines how they're treated in the criminal justice system,,,
f,257112, We've just seen those two tragic examples in both Tulsa and Charlotte,,,
p,257122, we've got to do several things at the same time,,,
p,257134," We have to work to make sure that our police are using the best training, the best techniques, that they're well prepared to use force only when necessary",,,
p,257129, We have to restore trust between communities and the police,,,
p,257150," CLINTON has, ever since the first day of CLINTON's campaign, called for criminal justice reform",,,
p,257141," Everyone should be respected by the law, and everyone should respect the law",,,
f,257146," Right now, that's not the case in a lot of our neighborhoods",,,
p,257166, we have to bring communities together in order to begin working on that as a mutual goal,,,
v,257157, CLINTON has laid out a platform that would begin to remedy some of the problems we have in the criminal justice system,,,
v,257162," we also have to recognize, in addition to the challenges that we face with policing, there are so many good, brave police officers who equally want reform",,,
p,257173, we've got to get guns out of the hands of people who should not have them,,,
f,257177, The gun epidemic is the leading cause of death of young African," American men, more than the next nine causes put together",,
p,257184, we have to do two things,,,
p,257191, We have to restore trust,,,
p,257207, we have to tackle the plague of gun violence,,,
v,257211, which is a big contributor to a lot of the problems that we're seeing today,,,
p,257199, We have to work with the police,,,
p,257203, We have to make sure they respect the communities and the communities respect them,,,
p,244419, CLINTON certainly will support the outcome of this election,,,
v,244410, CLINTON supports USA's democracy,,,
p,244442, CLINTON sure hopes people will get out and vote as though their future depended on it,,,
v,244451, people's future does depend on the election,,,
p,244473, TRUMP wants to make America great again,,,
v,244478, Americans are a nation that is seriously troubled,,,
f,244485, Americans are losing their jobs,,,
f,244492, people are pouring into the USA,,,
f,244499, the other day USA were deporting 800 people,,,
v,244519, perhaps it was worse than pressing the wrong button,,,
f,244524, perhaps it was corruption,,,
f,244531, these people that we were going to deport for good reason ended up becoming citizens,,,
f,244554, they don't even know how many people USA were deporting,,,
f,244549," now it turns out USA might be deporting 1,800 people",,,
